ligne_id;commande_id;produit_id;quantite;prix_unitaire;remise_pourcent;montant_ligne
LIG000066;CMD000024;PRD00070;3;89;5.0;253.65
LIG000067;CMD000024;PRD00023;3;129;15.0;328.95
LIG000068;CMD000025;PRD00040;1;49;0.0;49.0
LIG000069;CMD000025;PRD00047;1;59;0.0;59.0
LIG000070;CMD000025;PRD00053;3;699;0.0;2097.0
LIG000071;CMD000025;PRD00034;2;49;0.0;98.0
LIG000072;CMD000026;PRD00077;3;69;0.0;207.0
LIG000073;CMD000026;PRD00030;1;189;5.0;179.55
LIG000074;CMD000026;PRD00001;3;1199;5.0;3417.15
LIG000075;CMD000027;PRD00081;3;39;15.0;99.45
LIG000076;CMD000027;PRD00031;3;99;0.0;297.0
LIG000077;CMD000027;PRD00067;2;49;15.0;83.3
LIG000078;CMD000027;PRD00098;3;15;10.0;40.5
LIG000079;CMD000028;PRD00082;2;49;10.0;88.2
LIG000080;CMD000029;PRD00069;1;29;0.0;29.0
LIG000081;CMD000030;PRD00064;1;799;0.0;799.0
LIG000082;CMD000031;PRD00097;1;15;0.0;15.0
LIG000083;CMD000032;PRD00002;1;899;5.0;854.05
LIG000084;CMD000032;PRD00016;2;19;0.0;38.0
LIG000085;CMD000032;PRD00099;3;25;0.0;75.0
LIG000086;CMD000032;PRD00092;1;45;5.0;42.75
LIG000087;CMD000033;PRD00021;1;59;15.0;50.15
LIG000088;CMD000033;PRD00081;3;39;10.0;105.3
LIG000089;CMD000033;PRD00094;1;29;0.0;29.0
LIG000090;CMD000034;PRD00031;3;99;5.0;282.15
LIG000091;CMD000035;PRD00075;3;59;5.0;168.15
LIG000092;CMD000036;PRD00088;3;49;0.0;147.0
LIG000093;CMD000037;PRD00017;2;379;0.0;758.0
LIG000094;CMD000038;PRD00033;2;199;15.0;338.3
LIG000095;CMD000038;PRD00006;2;1499;10.0;2698.2
LIG000096;CMD000039;PRD00036;1;129;10.0;116.1
LIG000097;CMD000039;PRD00077;1;69;5.0;65.55
LIG000098;CMD000039;PRD00071;2;69;0.0;138.0
LIG000099;CMD000039;PRD00021;3;59;0.0;177.0
LIG000100;CMD000040;PRD00031;3;99;5.0;282.15
LIG000101;CMD000040;PRD00042;1;249;10.0;224.1
LIG000102;CMD000040;PRD00093;3;19;5.0;54.15
LIG000103;CMD000040;PRD00009;3;1299;0.0;3897.0
LIG000104;CMD000040;PRD00085;3;35;0.0;105.0
LIG000105;CMD000041;PRD00023;1;129;0.0;129.0
LIG000106;CMD000041;PRD00005;2;1299;0.0;2598.0
LIG000107;CMD000042;PRD00047;1;59;10.0;53.1
LIG000108;CMD000043;PRD00047;3;59;15.0;150.45
LIG000109;CMD000044;PRD00010;1;799;0.0;799.0
LIG000110;CMD000044;PRD00028;3;79;0.0;237.0
LIG000111;CMD000044;PRD00067;3;49;5.0;139.65
LIG000112;CMD000045;PRD00099;3;25;10.0;67.5
LIG000113;CMD000046;PRD00065;3;139;10.0;375.3
LIG000114;CMD000046;PRD00044;2;449;0.0;898.0
LIG000115;CMD000046;PRD00085;2;35;10.0;63.0
LIG000116;CMD000046;PRD00021;2;59;0.0;118.0
LIG000117;CMD000047;PRD00099;2;25;5.0;47.5
LIG000118;CMD000047;PRD00071;2;69;5.0;131.1
LIG000119;CMD000047;PRD00096;1;9;15.0;7.65
LIG000120;CMD000047;PRD00033;1;199;0.0;199.0
LIG000121;CMD000048;PRD00041;3;899;0.0;2697.0
LIG000122;CMD000048;PRD00003;3;699;10.0;1887.3
LIG000123;CMD000049;PRD00018;2;329;10.0;592.2
LIG000124;CMD000049;PRD00034;1;49;0.0;49.0
LIG000125;CMD000050;PRD00062;3;59;15.0;150.45
LIG000126;CMD000050;PRD00023;3;129;0.0;387.0
LIG000127;CMD000050;PRD00063;3;19;15.0;48.45
LIG000128;CMD000051;PRD00056;1;89;15.0;75.65
LIG000129;CMD000051;PRD00054;3;149;10.0;402.3
LIG000130;CMD000051;PRD00016;1;19;15.0;16.15
LIG000131;CMD000052;PRD00073;1;199;0.0;199.0
LIG000132;CMD000052;PRD00020;1;349;15.0;296.65
LIG000133;CMD000052;PRD00042;3;249;5.0;709.65
LIG000134;CMD000052;PRD00065;2;139;10.0;250.2
LIG000135;CMD000052;PRD00090;3;59;10.0;159.3
LIG000136;CMD000053;PRD00061;3;39;15.0;99.45
LIG000137;CMD000054;PRD00098;2;15;10.0;27.0
LIG000138;CMD000054;PRD00018;1;329;5.0;312.55
LIG000139;CMD000055;PRD00042;1;249;15.0;211.65
LIG000140;CMD000055;PRD00088;2;49;5.0;93.1
LIG000141;CMD000055;PRD00074;2;129;0.0;258.0
LIG000142;CMD000055;PRD00012;1;449;0.0;449.0
LIG000143;CMD000056;PRD00019;3;129;0.0;387.0
LIG000144;CMD000056;PRD00057;1;399;15.0;339.15
LIG000145;CMD000056;PRD00006;1;1499;0.0;1499.0
LIG000146;CMD000056;PRD00030;3;189;0.0;567.0
LIG000147;CMD000056;PRD00026;1;119;10.0;107.1
LIG000148;CMD000057;PRD00061;3;39;10.0;105.3
LIG000149;CMD000057;PRD00003;1;699;0.0;699.0
LIG000150;CMD000057;PRD00043;3;129;10.0;348.3
LIG000151;CMD000057;PRD00027;2;89;10.0;160.2
LIG000152;CMD000058;PRD00022;1;79;15.0;67.15
LIG000153;CMD000058;PRD00008;3;999;0.0;2997.0
LIG000154;CMD000058;PRD00037;1;299;5.0;284.05
LIG000155;CMD000059;PRD00038;3;79;5.0;225.15
LIG000156;CMD000060;PRD00024;1;25;10.0;22.5
LIG000157;CMD000061;PRD00063;1;19;0.0;19.0
LIG000158;CMD000061;PRD00051;2;449;15.0;763.3
LIG000159;CMD000061;PRD00096;2;9;0.0;18.0
LIG000160;CMD000062;PRD00004;1;599;0.0;599.0
LIG000161;CMD000062;PRD00072;2;39;15.0;66.3
LIG000162;CMD000062;PRD00036;1;129;0.0;129.0
LIG000163;CMD000062;PRD00029;3;129;5.0;367.65
LIG000164;CMD000063;PRD00040;3;49;0.0;147.0
LIG000165;CMD000063;PRD00078;1;29;15.0;24.65
LIG000166;CMD000063;PRD00043;1;129;10.0;116.1
LIG000167;CMD000063;PRD00058;3;249;15.0;634.95
LIG000168;CMD000064;PRD00009;3;1299;0.0;3897.0
LIG000169;CMD000064;PRD00072;1;39;0.0;39.0
LIG000170;CMD000064;PRD00069;1;29;15.0;24.65
LIG000171;CMD000065;PRD00100;1;19;0.0;19.0
LIG000172;CMD000065;PRD00025;1;69;0.0;69.0
LIG000173;CMD000066;PRD00046;1;149;15.0;126.65
LIG000174;CMD000067;PRD00050;2;299;0.0;598.0
LIG000175;CMD000067;PRD00063;1;19;0.0;19.0
LIG000176;CMD000068;PRD00097;1;15;0.0;15.0
LIG000177;CMD000068;PRD00027;2;89;10.0;160.2
LIG000178;CMD000069;PRD00095;3;25;15.0;63.75
LIG000179;CMD000069;PRD00049;3;599;10.0;1617.3
LIG000180;CMD000069;PRD00093;3;19;10.0;51.3
LIG000181;CMD000069;PRD00041;3;899;15.0;2292.45
LIG000182;CMD000069;PRD00051;1;449;10.0;404.1
LIG000183;CMD000070;PRD00072;2;39;10.0;70.2
LIG000184;CMD000071;PRD00060;2;79;10.0;142.2
LIG000185;CMD000071;PRD00022;1;79;15.0;67.15
LIG000186;CMD000071;PRD00055;3;79;0.0;237.0
LIG000187;CMD000072;PRD00051;2;449;5.0;853.1
LIG000188;CMD000072;PRD00053;1;699;0.0;699.0
LIG000189;CMD000073;PRD00012;1;449;15.0;381.65
LIG000190;CMD000074;PRD00071;1;69;0.0;69.0
LIG000191;CMD000074;PRD00049;3;599;15.0;1527.45
LIG000192;CMD000074;PRD00006;1;1499;0.0;1499.0
LIG000193;CMD000074;PRD00099;1;25;0.0;25.0
LIG000194;CMD000075;PRD00016;1;19;0.0;19.0
LIG000195;CMD000075;PRD00017;3;379;0.0;1137.0
LIG000196;CMD000076;PRD00076;2;29;5.0;55.1
LIG000197;CMD000076;PRD00085;2;35;5.0;66.5
LIG000198;CMD000077;PRD00081;1;39;0.0;39.0
LIG000199;CMD000077;PRD00072;3;39;0.0;117.0
LIG000200;CMD000077;PRD00027;1;89;0.0;89.0
LIG000201;CMD000077;PRD00007;1;1199;15.0;1019.15
LIG000202;CMD000077;PRD00024;3;25;10.0;67.5
LIG000203;CMD000078;PRD00079;3;15;10.0;40.5
LIG000204;CMD000078;PRD00085;3;35;10.0;94.5
LIG000205;CMD000078;PRD00089;1;89;5.0;84.55
LIG000206;CMD000079;PRD00049;2;599;10.0;1078.2
LIG000207;CMD000079;PRD00009;1;1299;0.0;1299.0
LIG000208;CMD000079;PRD00098;2;15;0.0;30.0
LIG000209;CMD000080;PRD00008;3;999;0.0;2997.0
LIG000210;CMD000080;PRD00014;2;49;15.0;83.3
LIG000211;CMD000080;PRD00074;3;129;10.0;348.3
LIG000212;CMD000080;PRD00094;3;29;0.0;87.0
LIG000213;CMD000080;PRD00081;2;39;10.0;70.2
LIG000214;CMD000081;PRD00094;1;29;15.0;24.65
LIG000215;CMD000081;PRD00081;2;39;0.0;78.0
LIG000216;CMD000081;PRD00064;1;799;0.0;799.0
LIG000217;CMD000081;PRD00024;1;25;5.0;23.75
LIG000218;CMD000081;PRD00079;3;15;0.0;45.0
LIG000219;CMD000082;PRD00072;1;39;15.0;33.15
LIG000220;CMD000082;PRD00082;1;49;15.0;41.65
LIG000221;CMD000082;PRD00028;2;79;0.0;158.0
LIG000222;CMD000083;PRD00044;3;449;10.0;1212.3
LIG000223;CMD000083;PRD00051;1;449;0.0;449.0
LIG000224;CMD000083;PRD00093;1;19;0.0;19.0
LIG000225;CMD000084;PRD00081;3;39;0.0;117.0
LIG000226;CMD000084;PRD00059;2;39;5.0;74.1
LIG000227;CMD000085;PRD00003;2;699;0.0;1398.0
LIG000228;CMD000085;PRD00027;1;89;0.0;89.0
LIG000229;CMD000085;PRD00074;1;129;0.0;129.0
LIG000230;CMD000085;PRD00088;2;49;15.0;83.3
LIG000231;CMD000085;PRD00043;3;129;0.0;387.0
LIG000232;CMD000086;PRD00035;2;69;0.0;138.0
LIG000233;CMD000087;PRD00039;1;149;0.0;149.0
LIG000234;CMD000087;PRD00023;2;129;10.0;232.2
LIG000235;CMD000087;PRD00015;1;29;5.0;27.55
LIG000236;CMD000087;PRD00048;3;79;0.0;237.0
LIG000237;CMD000087;PRD00005;1;1299;0.0;1299.0
LIG000238;CMD000088;PRD00027;1;89;5.0;84.55
LIG000239;CMD000088;PRD00093;2;19;15.0;32.3
LIG000240;CMD000089;PRD00060;3;79;15.0;201.45
LIG000241;CMD000089;PRD00006;3;1499;0.0;4497.0
LIG000242;CMD000089;PRD00014;1;49;10.0;44.1
LIG000243;CMD000090;PRD00041;2;899;0.0;1798.0
LIG000244;CMD000090;PRD00099;1;25;0.0;25.0
LIG000245;CMD000090;PRD00057;1;399;0.0;399.0
LIG000246;CMD000090;PRD00086;3;25;10.0;67.5
LIG000247;CMD000090;PRD00016;3;19;0.0;57.0
LIG000248;CMD000091;PRD00032;2;59;10.0;106.2
LIG000249;CMD000091;PRD00022;2;79;0.0;158.0
LIG000250;CMD000091;PRD00010;1;799;0.0;799.0
LIG000251;CMD000091;PRD00040;2;49;15.0;83.3
LIG000252;CMD000091;PRD00079;1;15;0.0;15.0
LIG000253;CMD000092;PRD00046;3;149;10.0;402.3
LIG000254;CMD000092;PRD00040;1;49;5.0;46.55
LIG000255;CMD000092;PRD00043;3;129;0.0;387.0
LIG000256;CMD000092;PRD00026;1;119;15.0;101.15
LIG000257;CMD000092;PRD00092;2;45;0.0;90.0
LIG000258;CMD000093;PRD00034;3;49;0.0;147.0
LIG000259;CMD000093;PRD00047;2;59;5.0;112.1
LIG000260;CMD000093;PRD00051;2;449;0.0;898.0
LIG000261;CMD000093;PRD00024;1;25;5.0;23.75
LIG000262;CMD000093;PRD00090;1;59;0.0;59.0
LIG000263;CMD000094;PRD00014;3;49;0.0;147.0
LIG000264;CMD000094;PRD00052;2;89;10.0;160.2
LIG000265;CMD000094;PRD00092;2;45;5.0;85.5
LIG000266;CMD000094;PRD00042;3;249;5.0;709.65
LIG000267;CMD000094;PRD00072;1;39;10.0;35.1
LIG000268;CMD000095;PRD00056;1;89;0.0;89.0
LIG000269;CMD000095;PRD00073;3;199;15.0;507.45
LIG000270;CMD000095;PRD00044;1;449;15.0;381.65
LIG000271;CMD000095;PRD00070;3;89;10.0;240.3
LIG000272;CMD000095;PRD00089;2;89;0.0;178.0
LIG000273;CMD000096;PRD00052;1;89;15.0;75.65
LIG000274;CMD000096;PRD00009;3;1299;5.0;3702.15
LIG000275;CMD000096;PRD00077;2;69;5.0;131.1
LIG000276;CMD000097;PRD00085;2;35;10.0;63.0
LIG000277;CMD000097;PRD00020;2;349;5.0;663.1
LIG000278;CMD000098;PRD00087;1;29;10.0;26.1
LIG000279;CMD000098;PRD00039;1;149;10.0;134.1
LIG000280;CMD000098;PRD00056;3;89;5.0;253.65
LIG000281;CMD000098;PRD00092;1;45;0.0;45.0
LIG000282;CMD000098;PRD00045;1;89;0.0;89.0
LIG000283;CMD000099;PRD00056;3;89;5.0;253.65
LIG000284;CMD000099;PRD00090;3;59;0.0;177.0
LIG000285;CMD000100;PRD00018;2;329;5.0;625.1
LIG000286;CMD000100;PRD00025;1;69;0.0;69.0
LIG000287;CMD000100;PRD00072;3;39;0.0;117.0
LIG000288;CMD000100;PRD00050;1;299;0.0;299.0
LIG000289;CMD000101;PRD00018;3;329;5.0;937.65
LIG000290;CMD000102;PRD00058;2;249;10.0;448.2
LIG000291;CMD000102;PRD00050;1;299;10.0;269.1
LIG000292;CMD000102;PRD00046;2;149;15.0;253.3
LIG000293;CMD000102;PRD00029;1;129;15.0;109.65
LIG000294;CMD000102;PRD00024;3;25;0.0;75.0
LIG000295;CMD000103;PRD00015;3;29;0.0;87.0
LIG000296;CMD000103;PRD00075;1;59;15.0;50.15
LIG000297;CMD000103;PRD00062;3;59;10.0;159.3
LIG000298;CMD000104;PRD00061;3;39;15.0;99.45
LIG000299;CMD000104;PRD00081;3;39;0.0;117.0
LIG000300;CMD000105;PRD00100;2;19;10.0;34.2
LIG000301;CMD000105;PRD00002;3;899;0.0;2697.0
LIG000302;CMD000105;PRD00061;2;39;0.0;78.0
LIG000303;CMD000105;PRD00059;2;39;0.0;78.0
LIG000304;CMD000105;PRD00066;1;249;0.0;249.0
LIG000305;CMD000106;PRD00022;3;79;10.0;213.3
LIG000306;CMD000106;PRD00074;1;129;0.0;129.0
LIG000307;CMD000106;PRD00007;2;1199;0.0;2398.0
LIG000308;CMD000106;PRD00085;1;35;10.0;31.5
LIG000309;CMD000106;PRD00038;1;79;0.0;79.0
LIG000310;CMD000107;PRD00078;1;29;10.0;26.1
LIG000311;CMD000108;PRD00068;2;39;0.0;78.0
LIG000312;CMD000108;PRD00005;1;1299;10.0;1169.1
LIG000313;CMD000109;PRD00093;3;19;15.0;48.45
LIG000314;CMD000109;PRD00082;2;49;0.0;98.0
LIG000315;CMD000109;PRD00022;3;79;0.0;237.0
LIG000316;CMD000109;PRD00027;1;89;0.0;89.0
LIG000317;CMD000110;PRD00088;2;49;0.0;98.0
LIG000318;CMD000110;PRD00091;3;35;5.0;99.75
LIG000319;CMD000110;PRD00050;1;299;0.0;299.0
LIG000320;CMD000110;PRD00061;2;39;5.0;74.1
LIG000321;CMD000111;PRD00079;2;15;0.0;30.0
LIG000322;CMD000111;PRD00084;1;25;0.0;25.0
LIG000323;CMD000111;PRD00035;3;69;10.0;186.3
LIG000324;CMD000111;PRD00043;2;129;5.0;245.1
LIG000325;CMD000112;PRD00071;1;69;0.0;69.0
LIG000326;CMD000112;PRD00002;1;899;5.0;854.05
LIG000327;CMD000112;PRD00087;1;29;10.0;26.1
LIG000328;CMD000113;PRD00005;3;1299;0.0;3897.0
LIG000329;CMD000113;PRD00004;1;599;10.0;539.1
LIG000330;CMD000114;PRD00017;3;379;0.0;1137.0
LIG000331;CMD000114;PRD00049;1;599;15.0;509.15
LIG000332;CMD000114;PRD00085;1;35;0.0;35.0
LIG000333;CMD000114;PRD00098;2;15;5.0;28.5
LIG000334;CMD000114;PRD00083;3;19;0.0;57.0
LIG000335;CMD000115;PRD00100;2;19;0.0;38.0
LIG000336;CMD000115;PRD00008;1;999;0.0;999.0
LIG000337;CMD000115;PRD00049;2;599;0.0;1198.0
LIG000338;CMD000116;PRD00019;3;129;5.0;367.65
LIG000339;CMD000117;PRD00074;3;129;0.0;387.0
LIG000340;CMD000118;PRD00086;2;25;0.0;50.0
LIG000341;CMD000119;PRD00052;3;89;0.0;267.0
LIG000342;CMD000119;PRD00094;1;29;5.0;27.55
LIG000343;CMD000119;PRD00100;3;19;5.0;54.15
LIG000344;CMD000119;PRD00009;1;1299;10.0;1169.1
LIG000345;CMD000120;PRD00069;2;29;0.0;58.0
LIG000346;CMD000120;PRD00044;3;449;0.0;1347.0
LIG000347;CMD000120;PRD00011;1;699;10.0;629.1
LIG000348;CMD000121;PRD00011;1;699;0.0;699.0
LIG000349;CMD000121;PRD00081;1;39;0.0;39.0
LIG000350;CMD000121;PRD00057;1;399;15.0;339.15
LIG000351;CMD000121;PRD00095;3;25;0.0;75.0
LIG000352;CMD000122;PRD00005;2;1299;0.0;2598.0
LIG000353;CMD000123;PRD00087;3;29;0.0;87.0
LIG000354;CMD000123;PRD00069;1;29;0.0;29.0
LIG000355;CMD000123;PRD00020;3;349;0.0;1047.0
LIG000356;CMD000123;PRD00095;2;25;15.0;42.5
LIG000357;CMD000124;PRD00023;3;129;0.0;387.0
LIG000358;CMD000125;PRD00015;2;29;10.0;52.2
LIG000359;CMD000126;PRD00016;3;19;0.0;57.0
LIG000360;CMD000126;PRD00088;2;49;0.0;98.0
LIG000361;CMD000126;PRD00074;1;129;10.0;116.1
LIG000362;CMD000127;PRD00071;1;69;10.0;62.1
LIG000363;CMD000127;PRD00022;1;79;0.0;79.0
LIG000364;CMD000127;PRD00057;1;399;15.0;339.15
LIG000365;CMD000128;PRD00012;3;449;10.0;1212.3
LIG000366;CMD000128;PRD00091;2;35;5.0;66.5
LIG000367;CMD000129;PRD00058;3;249;0.0;747.0
LIG000368;CMD000129;PRD00053;3;699;0.0;2097.0
LIG000369;CMD000129;PRD00031;3;99;5.0;282.15
LIG000370;CMD000129;PRD00023;3;129;0.0;387.0
LIG000371;CMD000129;PRD00079;3;15;0.0;45.0
LIG000372;CMD000130;PRD00080;2;49;10.0;88.2
LIG000373;CMD000131;PRD00088;2;49;0.0;98.0
LIG000374;CMD000131;PRD00061;1;39;15.0;33.15
LIG000375;CMD000132;PRD00079;1;15;0.0;15.0
LIG000376;CMD000132;PRD00098;3;15;0.0;45.0
LIG000377;CMD000132;PRD00059;3;39;0.0;117.0
LIG000378;CMD000133;PRD00075;3;59;0.0;177.0
LIG000379;CMD000133;PRD00042;1;249;0.0;249.0
LIG000380;CMD000133;PRD00054;2;149;0.0;298.0
LIG000381;CMD000133;PRD00026;1;119;0.0;119.0
LIG000382;CMD000133;PRD00096;3;9;5.0;25.65
LIG000383;CMD000134;PRD00056;1;89;0.0;89.0
LIG000384;CMD000135;PRD00081;2;39;0.0;78.0
LIG000385;CMD000135;PRD00046;2;149;0.0;298.0
LIG000386;CMD000136;PRD00054;1;149;0.0;149.0
LIG000387;CMD000136;PRD00022;3;79;0.0;237.0
LIG000388;CMD000136;PRD00098;3;15;10.0;40.5
LIG000389;CMD000136;PRD00044;1;449;10.0;404.1
LIG000390;CMD000137;PRD00076;2;29;0.0;58.0
LIG000391;CMD000137;PRD00061;1;39;15.0;33.15
LIG000392;CMD000138;PRD00020;1;349;5.0;331.55
LIG000393;CMD000138;PRD00074;3;129;10.0;348.3
LIG000394;CMD000138;PRD00001;1;1199;5.0;1139.05
LIG000395;CMD000138;PRD00054;3;149;5.0;424.65
LIG000396;CMD000138;PRD00006;2;1499;15.0;2548.3
LIG000397;CMD000139;PRD00028;1;79;15.0;67.15
LIG000398;CMD000139;PRD00017;1;379;0.0;379.0
LIG000399;CMD000139;PRD00046;2;149;15.0;253.3
LIG000400;CMD000139;PRD00038;2;79;0.0;158.0
LIG000401;CMD000140;PRD00091;1;35;0.0;35.0
LIG000402;CMD000140;PRD00052;3;89;5.0;253.65
LIG000403;CMD000141;PRD00038;2;79;0.0;158.0
LIG000404;CMD000142;PRD00066;3;249;0.0;747.0
LIG000405;CMD000143;PRD00047;3;59;15.0;150.45
LIG000406;CMD000143;PRD00023;1;129;10.0;116.1
LIG000407;CMD000143;PRD00083;3;19;0.0;57.0
LIG000408;CMD000144;PRD00042;2;249;10.0;448.2
LIG000409;CMD000144;PRD00046;3;149;5.0;424.65
LIG000410;CMD000145;PRD00016;3;19;0.0;57.0
LIG000411;CMD000145;PRD00061;2;39;10.0;70.2
LIG000412;CMD000145;PRD00091;2;35;15.0;59.5
LIG000413;CMD000145;PRD00069;3;29;0.0;87.0
LIG000414;CMD000145;PRD00087;1;29;5.0;27.55
LIG000415;CMD000146;PRD00036;3;129;0.0;387.0
LIG000416;CMD000146;PRD00015;2;29;0.0;58.0
LIG000417;CMD000147;PRD00045;3;89;0.0;267.0
LIG000418;CMD000147;PRD00054;2;149;0.0;298.0
LIG000419;CMD000147;PRD00057;1;399;0.0;399.0
LIG000420;CMD000147;PRD00095;1;25;10.0;22.5
LIG000421;CMD000148;PRD00076;3;29;5.0;82.65
LIG000422;CMD000148;PRD00086;2;25;0.0;50.0
LIG000423;CMD000148;PRD00090;3;59;0.0;177.0
LIG000424;CMD000148;PRD00068;2;39;0.0;78.0
LIG000425;CMD000149;PRD00046;2;149;0.0;298.0
LIG000426;CMD000149;PRD00037;3;299;0.0;897.0
LIG000427;CMD000150;PRD00015;2;29;10.0;52.2
LIG000428;CMD000150;PRD00006;1;1499;5.0;1424.05
LIG000429;CMD000151;PRD00048;3;79;0.0;237.0
LIG000430;CMD000151;PRD00058;3;249;0.0;747.0
LIG000431;CMD000152;PRD00020;3;349;10.0;942.3
LIG000432;CMD000152;PRD00001;2;1199;15.0;2038.3
LIG000433;CMD000152;PRD00095;3;25;0.0;75.0
LIG000434;CMD000153;PRD00089;2;89;0.0;178.0
LIG000435;CMD000153;PRD00015;1;29;15.0;24.65
LIG000436;CMD000153;PRD00094;3;29;0.0;87.0
LIG000437;CMD000154;PRD00008;1;999;10.0;899.1
LIG000438;CMD000154;PRD00078;3;29;0.0;87.0
LIG000439;CMD000154;PRD00083;2;19;0.0;38.0
LIG000440;CMD000155;PRD00063;3;19;10.0;51.3
LIG000441;CMD000155;PRD00041;3;899;0.0;2697.0
LIG000442;CMD000156;PRD00048;2;79;0.0;158.0
LIG000443;CMD000156;PRD00002;2;899;10.0;1618.2
LIG000444;CMD000156;PRD00037;1;299;0.0;299.0
LIG000445;CMD000156;PRD00045;3;89;5.0;253.65
LIG000446;CMD000157;PRD00076;1;29;0.0;29.0
LIG000447;CMD000157;PRD00077;1;69;0.0;69.0
LIG000448;CMD000158;PRD00001;2;1199;15.0;2038.3
LIG000449;CMD000159;PRD00024;2;25;10.0;45.0
LIG000450;CMD000159;PRD00049;2;599;0.0;1198.0
LIG000451;CMD000160;PRD00004;1;599;0.0;599.0
LIG000452;CMD000160;PRD00001;2;1199;15.0;2038.3
LIG000453;CMD000161;PRD00004;2;599;5.0;1138.1
LIG000454;CMD000161;PRD00016;1;19;10.0;17.1
LIG000455;CMD000162;PRD00048;3;79;15.0;201.45
LIG000456;CMD000163;PRD00046;1;149;0.0;149.0
LIG000457;CMD000163;PRD00021;2;59;5.0;112.1
LIG000458;CMD000164;PRD00025;1;69;10.0;62.1
LIG000459;CMD000164;PRD00099;1;25;10.0;22.5
LIG000460;CMD000164;PRD00081;2;39;0.0;78.0
LIG000461;CMD000164;PRD00024;3;25;0.0;75.0
