commande_id;client_id;date_commande;heure_commande;statut;mode_paiement;transporteur;montant_ht;tva;frais_port;montant_ttc;code_promo
CMD000026;CLI00154;2023-01-10;14:15;Expédiée;PayPal;DPD;3803.7;760.74;0;4564.44;FIDELITE15
CMD000027;CLI00113;2023-09-27;20:17;Livrée;Apple Pay;Chronopost;520.25;104.05;0;624.3;
CMD000028;CLI00094;2023-05-20;15:17;Livrée;Klarna;DPD;88.2;17.64;0;105.84;
CMD000029;CLI00165;2023-01-20;12:17;Livrée;PayPal;DPD;29.0;5.8;4.99;39.79;
CMD000030;CLI00120;2023-04-03;14:19;Livrée;Apple Pay;Mondial Relay;799.0;159.8;0;958.8;FLASH25
CMD000031;CLI00357;2023-02-02;20:25;En cours;Carte bancaire;UPS;15.0;3.0;6.99;24.99;FLASH25
CMD000032;CLI00093;2023-07-16;19:49;Livrée;Carte bancaire;UPS;1009.8;201.96;0;1211.76;
CMD000033;CLI00243;2024-02-03;15:40;Livrée;Virement;Chronopost;184.45;36.89;0;221.34;SOLDES20
CMD000034;CLI00455;2023-02-23;13:00;Livrée;PayPal;Mondial Relay;282.15;56.43;0;338.58;
CMD000035;CLI00203;2023-09-06;19:38;Livrée;PayPal;Mondial Relay;168.15;33.63;0;201.78;
CMD000036;CLI00128;2023-06-11;22:48;Annulée;Carte bancaire;Colissimo;147.0;29.4;0;176.4;SOLDES20
CMD000037;CLI00331;2023-06-07;13:35;Retournée;Virement;DPD;758.0;151.6;0;909.6;
CMD000038;CLI00011;2024-01-22;12:34;En cours;Apple Pay;Chronopost;3036.5;607.3;0;3643.8;
CMD000039;CLI00279;2023-12-23;15:00;En cours;Klarna;DPD;496.65;99.33;0;595.98;
CMD000040;CLI00453;2023-01-20;13:26;En cours;Virement;Colissimo;4562.4;912.48;0;5474.88;
CMD000041;CLI00268;2023-03-10;09:02;Livrée;Klarna;DPD;2727.0;545.4;0;3272.4;FLASH25
CMD000042;CLI00270;2024-09-30;19:04;Livrée;Carte bancaire;Chronopost;53.1;10.62;0;63.72;FLASH25
CMD000043;CLI00476;2023-03-23;22:26;Annulée;Virement;Colissimo;150.45;30.09;0;180.54;BIENVENUE10
CMD000044;CLI00271;2023-02-11;11:12;Livrée;Klarna;Chronopost;1175.65;235.13;0;1410.78;
CMD000045;CLI00286;2024-07-25;13:43;Expédiée;Apple Pay;DPD;67.5;13.5;0;81.0;
CMD000046;CLI00086;2023-07-04;14:48;Retournée;Apple Pay;Mondial Relay;1454.3;290.86;0;1745.16;
CMD000047;CLI00289;2024-07-12;17:01;Livrée;Klarna;Chronopost;385.25;77.05;0;462.3;BIENVENUE10
CMD000048;CLI00004;2023-11-04;16:36;Livrée;Klarna;Chronopost;4584.3;916.86;0;5501.16;
CMD000049;CLI00020;2024-04-16;12:51;En cours;Virement;Colissimo;641.2;128.24;0;769.44;FIDELITE15
CMD000050;CLI00292;2023-08-11;12:02;Livrée;Klarna;DPD;585.9;117.18;0;703.08;
CMD000051;CLI00400;2023-02-27;20:40;En cours;Apple Pay;Colissimo;494.1;98.82;0;592.92;BIENVENUE10
CMD000052;CLI00269;2023-02-12;09:14;En cours;Apple Pay;Mondial Relay;1614.8;322.96;0;1937.76;FIDELITE15
CMD000053;CLI00076;2023-05-16;08:35;En cours;Apple Pay;Mondial Relay;99.45;19.89;0;119.34;
CMD000054;CLI00205;2024-05-28;14:41;Expédiée;Klarna;Chronopost;339.55;67.91;0;407.46;
CMD000055;CLI00125;2023-03-15;13:38;Livrée;Carte bancaire;Mondial Relay;1011.75;202.35;0;1214.1;
CMD000056;CLI00180;2024-09-23;22:09;Annulée;Virement;Colissimo;2899.25;579.85;0;3479.1;SOLDES20
CMD000057;CLI00356;2023-04-24;15:39;Livrée;PayPal;Colissimo;1312.8;262.56;0;1575.36;FIDELITE15
CMD000058;CLI00299;2024-06-23;18:00;Livrée;Carte bancaire;DPD;3348.2;669.64;0;4017.84;BIENVENUE10
CMD000059;CLI00340;2024-01-04;11:24;Livrée;Klarna;Colissimo;225.15;45.03;0;270.18;SOLDES20
CMD000060;CLI00249;2024-09-03;16:59;Retournée;Carte bancaire;Colissimo;22.5;4.5;6.99;33.99;
CMD000061;CLI00473;2024-06-26;18:19;Livrée;PayPal;UPS;800.3;160.06;0;960.36;BIENVENUE10
CMD000062;CLI00416;2023-03-05;16:43;Livrée;Klarna;Chronopost;1161.95;232.39;0;1394.34;FIDELITE15
CMD000063;CLI00124;2024-08-09;20:12;Livrée;PayPal;Mondial Relay;922.7;184.54;0;1107.24;
CMD000064;CLI00221;2023-05-29;08:48;Livrée;Virement;DPD;3960.65;792.13;0;4752.78;FIDELITE15
CMD000065;CLI00156;2024-03-29;20:39;Livrée;Klarna;Mondial Relay;88.0;17.6;0;105.6;
CMD000066;CLI00306;2023-08-26;20:30;Livrée;PayPal;UPS;126.65;25.33;0;151.98;FLASH25
CMD000067;CLI00365;2024-10-27;11:02;En cours;Apple Pay;Colissimo;617.0;123.4;0;740.4;BIENVENUE10
CMD000068;CLI00487;2024-02-27;15:44;Livrée;Virement;DPD;175.2;35.04;0;210.24;
CMD000069;CLI00219;2024-02-19;09:28;Livrée;Apple Pay;Colissimo;4428.9;885.78;0;5314.68;
CMD000070;CLI00266;2024-07-04;20:40;Expédiée;Carte bancaire;Chronopost;70.2;14.04;0;84.24;BIENVENUE10
CMD000071;CLI00226;2024-02-12;15:53;Livrée;Apple Pay;Colissimo;446.35;89.27;0;535.62;
CMD000072;CLI00093;2024-08-22;15:37;Retournée;PayPal;DPD;1552.1;310.42;0;1862.52;
CMD000073;CLI00129;2023-11-28;15:40;Livrée;Virement;Colissimo;381.65;76.33;0;457.98;FIDELITE15
CMD000074;CLI00373;2024-06-07;20:45;Livrée;Carte bancaire;DPD;3120.45;624.09;0;3744.54;BIENVENUE10
CMD000075;CLI00159;2024-04-01;08:29;Livrée;Apple Pay;DPD;1156.0;231.2;0;1387.2;
CMD000076;CLI00312;2024-05-20;09:38;Livrée;Klarna;Colissimo;121.6;24.32;0;145.92;
CMD000077;CLI00452;2024-07-14;12:21;Livrée;Carte bancaire;Colissimo;1331.65;266.33;0;1597.98;
CMD000078;CLI00214;2023-07-02;19:37;Livrée;Virement;Colissimo;219.55;43.91;0;263.46;
CMD000079;CLI00394;2023-11-03;09:44;En cours;Virement;Mondial Relay;2407.2;481.44;0;2888.64;FIDELITE15
CMD000080;CLI00269;2023-08-03;21:20;Livrée;Virement;UPS;3585.8;717.16;0;4302.96;SOLDES20
CMD000081;CLI00475;2023-05-13;19:54;Annulée;PayPal;UPS;970.4;194.08;0;1164.48;FIDELITE15
CMD000082;CLI00212;2023-02-16;20:04;En cours;Virement;Mondial Relay;232.8;46.56;0;279.36;SOLDES20
CMD000083;CLI00393;2023-01-07;21:21;Livrée;Apple Pay;DPD;1680.3;336.06;0;2016.36;
CMD000084;CLI00331;2023-05-20;22:47;Annulée;Carte bancaire;UPS;191.1;38.22;0;229.32;BIENVENUE10
CMD000085;CLI00290;2023-11-20;17:38;Retournée;Apple Pay;Chronopost;2086.3;417.26;0;2503.56;
CMD000086;CLI00443;2023-11-12;15:56;En cours;PayPal;Mondial Relay;138.0;27.6;0;165.6;FLASH25
CMD000087;CLI00425;2023-11-06;22:30;Livrée;Klarna;Mondial Relay;1944.75;388.95;0;2333.7;SOLDES20
CMD000088;CLI00074;2023-04-11;21:33;Retournée;Carte bancaire;Colissimo;116.85;23.37;0;140.22;BIENVENUE10
CMD000089;CLI00478;2023-02-15;20:19;Livrée;PayPal;Mondial Relay;4742.55;948.51;0;5691.06;
CMD000090;CLI00099;2023-10-21;11:34;Livrée;Virement;UPS;2346.5;469.3;0;2815.8;SOLDES20
CMD000091;CLI00139;2023-05-25;14:03;Livrée;Carte bancaire;DPD;1161.5;232.3;0;1393.8;FIDELITE15
CMD000092;CLI00092;2024-09-02;15:19;Annulée;Apple Pay;DPD;1027.0;205.4;0;1232.4;
CMD000093;CLI00486;2023-08-18;15:29;Livrée;PayPal;Mondial Relay;1239.85;247.97;0;1487.82;SOLDES20
CMD000094;CLI00310;2024-08-11;11:35;Livrée;PayPal;DPD;1137.45;227.49;0;1364.94;FIDELITE15
CMD000095;CLI00034;2023-12-15;17:38;Livrée;Apple Pay;Mondial Relay;1396.4;279.28;0;1675.68;
CMD000096;CLI00421;2024-03-31;18:42;Livrée;Carte bancaire;Colissimo;3908.9;781.78;0;4690.68;
CMD000097;CLI00419;2023-05-23;17:36;Livrée;Apple Pay;Chronopost;726.1;145.22;0;871.32;
CMD000098;CLI00349;2023-11-21;22:35;Livrée;Carte bancaire;Colissimo;547.85;109.57;0;657.42;SOLDES20
CMD000099;CLI00057;2023-10-16;19:24;Livrée;Apple Pay;DPD;430.65;86.13;0;516.78;FIDELITE15
CMD000100;CLI00280;2023-08-05;09:41;Livrée;Carte bancaire;Chronopost;1110.1;222.02;0;1332.12;FLASH25
CMD000101;CLI00337;2024-03-23;21:29;Livrée;Klarna;DPD;937.65;187.53;0;1125.18;
CMD000102;CLI00233;2024-06-05;14:59;Expédiée;Klarna;UPS;1155.25;231.05;0;1386.3;SOLDES20
CMD000103;CLI00018;2023-02-08;21:48;Annulée;Virement;DPD;296.45;59.29;0;355.74;
CMD000104;CLI00268;2024-09-16;18:40;Livrée;Klarna;UPS;216.45;43.29;0;259.74;BIENVENUE10
CMD000105;CLI00314;2023-02-24;19:59;En cours;Klarna;Mondial Relay;3136.2;627.24;0;3763.44;BIENVENUE10
CMD000106;CLI00032;2024-10-06;12:08;Annulée;Klarna;Mondial Relay;2850.8;570.16;0;3420.96;BIENVENUE10
CMD000107;CLI00440;2023-09-21;10:42;Livrée;Apple Pay;Mondial Relay;26.1;5.22;9.99;41.31;
CMD000108;CLI00134;2023-08-30;22:52;Annulée;PayPal;DPD;1247.1;249.42;0;1496.52;FIDELITE15
CMD000109;CLI00395;2024-01-28;10:29;Livrée;Apple Pay;DPD;472.45;94.49;0;566.94;BIENVENUE10
CMD000110;CLI00244;2024-06-29;18:20;Livrée;Klarna;Colissimo;570.85;114.17;0;685.02;
CMD000111;CLI00470;2024-06-28;20:43;En cours;PayPal;UPS;486.4;97.28;0;583.68;
CMD000112;CLI00267;2023-12-12;09:43;Livrée;Apple Pay;Mondial Relay;949.15;189.83;0;1138.98;
CMD000113;CLI00372;2023-10-18;18:57;Livrée;PayPal;UPS;4436.1;887.22;0;5323.32;
CMD000114;CLI00363;2023-05-03;18:29;Livrée;Virement;DPD;1766.65;353.33;0;2119.98;SOLDES20
CMD000115;CLI00132;2023-06-15;15:04;Livrée;Apple Pay;Chronopost;2235.0;447.0;0;2682.0;FIDELITE15
CMD000116;CLI00092;2024-10-22;11:39;Annulée;Carte bancaire;DPD;367.65;73.53;0;441.18;BIENVENUE10
CMD000117;CLI00053;2023-02-05;20:28;Livrée;Carte bancaire;DPD;387.0;77.4;0;464.4;
CMD000118;CLI00335;2024-10-17;19:21;Livrée;Apple Pay;UPS;50.0;10.0;4.99;64.99;
CMD000119;CLI00264;2024-05-17;16:59;Annulée;Virement;Mondial Relay;1517.8;303.56;0;1821.36;BIENVENUE10
CMD000120;CLI00206;2023-02-26;08:24;Livrée;PayPal;Mondial Relay;2034.1;406.82;0;2440.92;FIDELITE15
CMD000121;CLI00459;2023-04-20;15:24;En cours;Carte bancaire;UPS;1152.15;230.43;0;1382.58;BIENVENUE10
CMD000122;CLI00256;2024-06-30;13:50;Annulée;Carte bancaire;DPD;2598.0;519.6;0;3117.6;
CMD000123;CLI00109;2024-10-31;08:30;Retournée;Klarna;Colissimo;1205.5;241.1;0;1446.6;
CMD000124;CLI00360;2024-10-26;22:19;Livrée;Carte bancaire;DPD;387.0;77.4;0;464.4;
CMD000125;CLI00428;2024-08-28;20:39;Livrée;PayPal;Colissimo;52.2;10.44;0;62.64;
CMD000126;CLI00219;2023-12-12;10:21;Expédiée;Carte bancaire;Colissimo;271.1;54.22;0;325.32;BIENVENUE10
CMD000127;CLI00073;2024-03-01;17:24;Livrée;PayPal;Colissimo;480.25;96.05;0;576.3;FLASH25
CMD000128;CLI00042;2023-01-07;19:51;Livrée;Apple Pay;Chronopost;1278.8;255.76;0;1534.56;
CMD000129;CLI00074;2024-10-17;13:26;Livrée;Carte bancaire;UPS;3558.15;711.63;0;4269.78;
CMD000130;CLI00099;2023-05-01;16:14;Retournée;Apple Pay;Chronopost;88.2;17.64;0;105.84;BIENVENUE10
CMD000131;CLI00028;2023-07-18;22:02;Livrée;Carte bancaire;Mondial Relay;131.15;26.23;0;157.38;BIENVENUE10
CMD000132;CLI00108;2024-03-21;10:50;Livrée;Carte bancaire;DPD;177.0;35.4;0;212.4;
CMD000133;CLI00037;2023-08-29;21:12;Annulée;Apple Pay;Chronopost;868.65;173.73;0;1042.38;
CMD000134;CLI00242;2024-08-22;22:39;Annulée;Apple Pay;Chronopost;89.0;17.8;0;106.8;FIDELITE15
CMD000135;CLI00192;2023-05-20;08:44;Annulée;Klarna;Colissimo;376.0;75.2;0;451.2;BIENVENUE10
CMD000136;CLI00070;2023-04-24;16:54;Annulée;PayPal;Colissimo;830.6;166.12;0;996.72;FIDELITE15
CMD000137;CLI00439;2024-06-18;14:47;Annulée;PayPal;Chronopost;91.15;18.23;0;109.38;SOLDES20
CMD000138;CLI00223;2024-08-16;21:06;Livrée;Apple Pay;DPD;4791.85;958.37;0;5750.22;
CMD000139;CLI00043;2024-07-25;19:29;Livrée;Klarna;UPS;857.45;171.49;0;1028.94;
CMD000140;CLI00500;2024-04-10;19:40;Annulée;Carte bancaire;Colissimo;288.65;57.73;0;346.38;FIDELITE15
CMD000141;CLI00458;2023-12-07;19:39;Retournée;Klarna;UPS;158.0;31.6;0;189.6;
CMD000142;CLI00404;2023-03-24;22:03;En cours;Carte bancaire;DPD;747.0;149.4;0;896.4;SOLDES20
CMD000143;CLI00239;2024-09-25;10:21;Livrée;PayPal;UPS;323.55;64.71;0;388.26;
CMD000144;CLI00333;2024-05-04;12:03;Livrée;Carte bancaire;Mondial Relay;872.85;174.57;0;1047.42;SOLDES20
CMD000145;CLI00232;2024-05-12;09:05;Retournée;Apple Pay;Chronopost;301.25;60.25;0;361.5;BIENVENUE10
CMD000146;CLI00491;2023-03-20;21:13;Livrée;Klarna;Colissimo;445.0;89.0;0;534.0;BIENVENUE10
CMD000147;CLI00214;2024-07-08;18:21;Livrée;Apple Pay;UPS;986.5;197.3;0;1183.8;SOLDES20
CMD000148;CLI00336;2024-10-23;20:16;En cours;PayPal;DPD;387.65;77.53;0;465.18;SOLDES20
CMD000149;CLI00498;2023-10-23;19:34;Livrée;Virement;Chronopost;1195.0;239.0;0;1434.0;
CMD000150;CLI00430;2023-06-07;12:23;Livrée;PayPal;Chronopost;1476.25;295.25;0;1771.5;
CMD000151;CLI00341;2023-11-21;09:58;En cours;Carte bancaire;DPD;984.0;196.8;0;1180.8;FLASH25
CMD000152;CLI00394;2023-05-29;15:57;Annulée;Virement;UPS;3055.6;611.12;0;3666.72;
CMD000153;CLI00410;2024-08-01;12:01;Annulée;Apple Pay;UPS;289.65;57.93;0;347.58;
CMD000154;CLI00229;2024-01-01;08:05;Livrée;Klarna;DPD;1024.1;204.82;0;1228.92;
CMD000155;CLI00500;2024-06-08;22:42;Expédiée;Virement;DPD;2748.3;549.66;0;3297.96;
CMD000156;CLI00367;2024-03-13;19:26;En cours;Apple Pay;Mondial Relay;2328.85;465.77;0;2794.62;
CMD000157;CLI00413;2024-03-10;15:55;Expédiée;Klarna;Mondial Relay;98.0;19.6;0;117.6;
CMD000158;CLI00478;2024-08-27;22:17;Expédiée;Apple Pay;Chronopost;2038.3;407.66;0;2445.96;FLASH25
CMD000159;CLI00364;2024-08-04;21:52;Livrée;Virement;UPS;1243.0;248.6;0;1491.6;BIENVENUE10
CMD000160;CLI00253;2024-07-26;21:40;Annulée;Apple Pay;Colissimo;2637.3;527.46;0;3164.76;BIENVENUE10
CMD000161;CLI00214;2023-07-03;19:23;Annulée;Klarna;DPD;1155.2;231.04;0;1386.24;FIDELITE15
CMD000162;CLI00445;2023-09-22;17:01;Annulée;Virement;Chronopost;201.45;40.29;0;241.74;
CMD000163;CLI00075;2023-11-24;18:58;Annulée;Virement;Colissimo;261.1;52.22;0;313.32;BIENVENUE10
CMD000164;CLI00150;2024-06-26;19:44;Livrée;Virement;Colissimo;263.1;52.62;0;315.72;SOLDES20
CMD000165;CLI00422;2023-05-28;22:58;Livrée;PayPal;Colissimo;691.1;138.22;0;829.32;
CMD000166;CLI00080;2024-05-30;16:44;Livrée;Carte bancaire;DPD;143.55;28.71;0;172.26;FLASH25
CMD000167;CLI00470;2023-03-20;10:52;Livrée;Apple Pay;UPS;1575.0;315.0;0;1890.0;SOLDES20
CMD000168;CLI00089;2023-11-08;10:44;Livrée;PayPal;Mondial Relay;109.65;21.93;0;131.58;
CMD000169;CLI00108;2023-05-14;16:37;Livrée;Carte bancaire;DPD;822.7;164.54;0;987.24;
CMD000170;CLI00466;2023-09-17;20:06;Livrée;Carte bancaire;UPS;447.0;89.4;0;536.4;
CMD000171;CLI00301;2023-07-24;21:32;Livrée;Klarna;Chronopost;3402.0;680.4;0;4082.4;
CMD000172;CLI00051;2024-08-15;17:11;Livrée;Apple Pay;Colissimo;1420.55;284.11;0;1704.66;
CMD000173;CLI00428;2023-12-30;20:23;Expédiée;Virement;UPS;1149.7;229.94;0;1379.64;
CMD000174;CLI00043;2023-12-02;17:47;Annulée;Virement;DPD;568.1;113.62;0;681.72;
CMD000175;CLI00284;2024-02-22;15:33;Livrée;Carte bancaire;Colissimo;1336.0;267.2;0;1603.2;
CMD000176;CLI00203;2024-02-15;21:25;Livrée;Carte bancaire;Chronopost;1352.1;270.42;0;1622.52;FIDELITE15
CMD000177;CLI00372;2024-05-26;09:07;Livrée;Virement;DPD;411.45;82.29;0;493.74;FLASH25
CMD000178;CLI00119;2024-10-05;21:04;Livrée;Apple Pay;Colissimo;837.0;167.4;0;1004.4;
CMD000179;CLI00196;2024-09-11;20:33;En cours;Apple Pay;DPD;488.65;97.73;0;586.38;
CMD000180;CLI00151;2024-05-24;08:11;Annulée;Klarna;Mondial Relay;2387.2;477.44;0;2864.64;
CMD000181;CLI00252;2024-03-17;18:34;Livrée;Klarna;DPD;943.95;188.79;0;1132.74;FLASH25
CMD000182;CLI00288;2023-06-10;17:24;Retournée;Klarna;Mondial Relay;853.1;170.62;0;1023.72;BIENVENUE10
CMD000183;CLI00165;2023-03-04;13:03;Livrée;PayPal;Chronopost;5977.5;1195.5;0;7173.0;
CMD000184;CLI00332;2023-11-16;08:34;Livrée;Virement;Colissimo;49.0;9.8;4.99;63.79;FLASH25
CMD000185;CLI00337;2024-03-08;09:51;Retournée;Apple Pay;Colissimo;1773.45;354.69;0;2128.14;
CMD000186;CLI00173;2024-05-23;21:54;Retournée;Klarna;Chronopost;611.35;122.27;0;733.62;BIENVENUE10
CMD000187;CLI00136;2023-02-18;14:13;Livrée;Virement;Colissimo;1742.15;348.43;0;2090.58;BIENVENUE10
CMD000188;CLI00259;2023-11-04;21:11;Expédiée;Klarna;DPD;3689.55;737.91;0;4427.46;
CMD000189;CLI00339;2024-04-23;18:48;Livrée;Virement;DPD;512.75;102.55;0;615.3;FIDELITE15
CMD000190;CLI00164;2023-03-07;11:01;Livrée;PayPal;Mondial Relay;1111.3;222.26;0;1333.56;FLASH25
CMD000191;CLI00249;2024-07-27;18:54;Expédiée;Carte bancaire;DPD;1716.3;343.26;0;2059.56;
CMD000192;CLI00029;2023-03-27;22:07;En cours;Klarna;UPS;3474.9;694.98;0;4169.88;BIENVENUE10
CMD000193;CLI00255;2023-04-03;11:17;Livrée;Apple Pay;DPD;1159.95;231.99;0;1391.94;BIENVENUE10
CMD000194;CLI00442;2024-08-26;13:30;Livrée;Virement;Mondial Relay;437.3;87.46;0;524.76;
CMD000195;CLI00331;2024-09-12;12:35;Livrée;Apple Pay;Mondial Relay;267.0;53.4;0;320.4;SOLDES20
CMD000196;CLI00463;2023-05-05;09:59;Retournée;PayPal;Mondial Relay;977.05;195.41;0;1172.46;
CMD000197;CLI00441;2023-06-14;14:59;Annulée;Virement;DPD;1231.35;246.27;0;1477.62;
CMD000198;CLI00423;2023-06-14;18:28;Livrée;PayPal;Colissimo;4154.2;830.84;0;4985.04;FIDELITE15
CMD000199;CLI00103;2024-10-05;21:38;Livrée;Apple Pay;Mondial Relay;1998.45;399.69;0;2398.14;FLASH25
CMD000200;CLI00245;2023-05-17;14:23;Livrée;PayPal;DPD;127.0;25.4;0;152.4;FIDELITE15
CMD000201;CLI00484;2024-08-07;17:40;Livrée;PayPal;Colissimo;1782.45;356.49;0;2138.94;FLASH25
CMD000202;CLI00102;2023-09-26;17:16;Livrée;PayPal;Colissimo;253.65;50.73;0;304.38;SOLDES20
CMD000203;CLI00088;2024-08-03;20:58;Livrée;Apple Pay;DPD;128.25;25.65;0;153.9;
CMD000204;CLI00115;2023-07-28;21:18;Livrée;PayPal;DPD;3013.0;602.6;0;3615.6;
CMD000205;CLI00210;2023-05-30;15:05;Livrée;Carte bancaire;DPD;401.15;80.23;0;481.38;
CMD000206;CLI00447;2023-11-28;12:04;Expédiée;Carte bancaire;UPS;935.55;187.11;0;1122.66;
CMD000207;CLI00027;2023-12-07;12:25;Livrée;Virement;Chronopost;650.6;130.12;0;780.72;
CMD000208;CLI00298;2023-07-03;13:45;Livrée;Klarna;DPD;1063.1;212.62;0;1275.72;
CMD000209;CLI00134;2023-04-30;19:23;En cours;Apple Pay;Mondial Relay;758.0;151.6;0;909.6;BIENVENUE10
CMD000210;CLI00314;2023-09-28;20:28;Retournée;Carte bancaire;Chronopost;2617.2;523.44;0;3140.64;
CMD000211;CLI00028;2023-08-24;19:29;Livrée;Apple Pay;Colissimo;78.0;15.6;0;93.6;FLASH25
CMD000212;CLI00021;2024-03-28;21:17;En cours;Klarna;UPS;976.3;195.26;0;1171.56;
CMD000213;CLI00299;2023-01-05;13:37;Retournée;Carte bancaire;Mondial Relay;1164.7;232.94;0;1397.64;
CMD000214;CLI00015;2023-03-25;19:46;Annulée;Klarna;Chronopost;519.3;103.86;0;623.16;
CMD000215;CLI00442;2023-02-19;10:15;Livrée;Apple Pay;Colissimo;4313.3;862.66;0;5175.96;
CMD000216;CLI00437;2023-08-02;22:43;Livrée;Klarna;Chronopost;771.1;154.22;0;925.32;SOLDES20
CMD000217;CLI00341;2023-04-09;18:27;En cours;Carte bancaire;Colissimo;1080.15;216.03;0;1296.18;SOLDES20
CMD000218;CLI00499;2024-04-19;12:29;Livrée;Apple Pay;Colissimo;2154.45;430.89;0;2585.34;FLASH25
CMD000219;CLI00154;2023-06-02;16:06;Livrée;Klarna;DPD;229.3;45.86;0;275.16;FIDELITE15
CMD000220;CLI00049;2024-04-20;10:50;Livrée;PayPal;DPD;2639.3;527.86;0;3167.16;
CMD000221;CLI00043;2024-03-02;11:11;Livrée;Carte bancaire;UPS;217.65;43.53;0;261.18;BIENVENUE10
CMD000222;CLI00447;2023-04-19;15:19;Expédiée;Klarna;UPS;6518.3;1303.66;0;7821.96;SOLDES20
CMD000223;CLI00354;2024-02-09;11:07;Livrée;Carte bancaire;Chronopost;379.0;75.8;0;454.8;
CMD000224;CLI00108;2024-05-07;20:29;Livrée;PayPal;DPD;306.0;61.2;0;367.2;FIDELITE15
CMD000225;CLI00012;2023-04-30;21:28;Livrée;Klarna;Chronopost;165.5;33.1;0;198.6;
CMD000226;CLI00151;2024-08-06;18:54;Expédiée;Apple Pay;DPD;129.0;25.8;0;154.8;FLASH25
CMD000227;CLI00378;2024-08-15;22:52;Retournée;Apple Pay;Chronopost;2613.6;522.72;0;3136.32;
CMD000228;CLI00271;2023-01-20;08:10;Expédiée;Virement;Chronopost;5271.35;1054.27;0;6325.62;FLASH25
CMD000229;CLI00177;2024-03-24;18:47;Livrée;Virement;DPD;1799.2;359.84;0;2159.04;
CMD000230;CLI00319;2023-08-01;11:10;Livrée;Klarna;DPD;50.0;10.0;4.99;64.99;
CMD000231;CLI00407;2024-03-01;10:11;Annulée;Klarna;Colissimo;343.3;68.66;0;411.96;
CMD000232;CLI00173;2024-03-16;18:06;Livrée;Carte bancaire;DPD;693.95;138.79;0;832.74;FLASH25
CMD000233;CLI00493;2023-04-24;15:48;Livrée;Klarna;DPD;1711.45;342.29;0;2053.74;
CMD000234;CLI00079;2024-10-24;12:32;En cours;PayPal;Colissimo;882.1;176.42;0;1058.52;BIENVENUE10
CMD000235;CLI00191;2024-02-29;20:27;En cours;Apple Pay;DPD;1009.65;201.93;0;1211.58;FLASH25
CMD000236;CLI00488;2024-06-12;19:51;En cours;Klarna;Colissimo;399.0;79.8;0;478.8;
